Menu Item ID,Name,Display Name,Space,Brand Name,Type,Category,Ready for Sale,Combo Item,Number of Pieces,Is this a Promotion,Discounted Product,Promotion Type,Packaging Type,Number of units,Diet,Description,Recipe
1762296085148,Coca-Cola Zero PET 50cl HH (Aux/Paris),Coca-Cola Zero 50cl,Auxerre|space-1762366011612|PFC,Coca-Cola,Beverage,Soft Drink,No,No,1.000,Yes,Coca-Cola Zero PET 50cl (Paris/Aux),Happy-Hour,,,,,ing-1775686134665-4jkz95imh>Ingredient>1774988660249-9u5oj0ni3>1774988660249-9u5oj0ni3>1.000|pkg-1778164734125-3nynnmtm6>Packaging>1775288910887-6hf3gtxl1>1.000
menu-item-1776261524265-27ksu735d,CDP BRUT 75CL,,SFP,,Beverage,Sparkling Wine,Yes,No,1.000,No,,,,,,,
1762288675661,Heineken 50cl (Paris),Heineken 50cl,space-1762366011612|SFP|PFC,Heineken,Beverage,Beer,No,No,1.000,No,,,,,,,ing-1762288619666-x3n51gqcs>Ingredient>ing-market-price-1762288192688>>0.500|pkg-1776351688658-5x8unehpn>Packaging>pkg-1775288910887-6hf3gtxl1>1.000
1762335941891,COMBO Smash frite,,Adidas Arena|Aix Arena,,Combo,Menu,No,No,1.000,No,,,,,,,combo-1762335721566-24crpl9l5>Component>mi-1761530805198>1.000|combo-1762336173352-is9bny2xd>Component>1762336132417>1.000|pkg-1762397165723-qkszsgsdj>Ingredient>pkg-market-price-1762389575382>>1.000|pkg-1762504571670-780rpff3t>Ingredient>pkg-market-price-1762390703120>>1.000
1762336132417,Frites (Aix),Frites,space-1762366011612|Aix Arena,EIF,Food,Sides,No,Yes,1.000,No,,,,,Vegetarian,,ing-1775243954876-zdav9brzj>Ingredient>1775202848720-131h8ujkn>1775202848720-131h8ujkn>0.250|ing-1775243968241-ujf96ef4c>Ingredient>1775222925626-33-boz1hww1o>1775222925626-33-boz1hww1o>0.010|pkg-1775243984842-1vbmqiydg>Packaging>pkg-1775227685860-ueadp9b8g>1.000|ing-1775243994009-nwpds7nl0>Ingredient>1775222924995-0-y8ujycsth>1775222924995-0-y8ujycsth>1.000
menu-item-1763855044930-7crf8l593,Chips Lay's BBQ (Paris),Chips BBQ,space-1762366011612|Adidas Arena|SFP|PFC,Lay's,Food,Snack salé,Yes,No,1.000,No,,,,1.000,,,ing-1776682379648-9pc0z4gan>Ingredient>1776436149124-tnnpbdamt>1776436149124-tnnpbdamt>1.000
menu-1779456727300-d9k1808l1,Coca-Cola BIB 33cl (Aux/Paris),Coca-Cola 33cl,Adidas Arena,Coca-Cola,Beverage,Soft Drink,No,No,364.000,No,,,,,,,comp-1779456727300-1uokr3mv0>Ingredient>1767782927838-q8odp5g07>1767782927838-q8odp5g07>19.000|comp-1779456727300-trsbwk2ef>Packaging>1775288910887-6hf3gtxl1>364.000
menu-1779456957236-xgpumwojd,Coca-Cola BIB 33cl HH,Coca-Cola 33cl,Adidas Arena,Coca-Cola,Beverage,Soft Drink,No,No,364.000,Yes,Coca-Cola BIB 33cl (Aux/Paris),Happy-Hour,,,,,comp-1779456957236-vwkkom31l>Ingredient>1767782927838-q8odp5g07>1767782927838-q8odp5g07>19.000|comp-1779456957236-ceqfldz43>Packaging>1775288910887-6hf3gtxl1>364.000
menu-1779457042829-d0v5msn3o,Coca-Cola Zero BIB 33cl,Coca-Cola Zero 33cl,Adidas Arena,Coca-Cola,Beverage,Soft Drink,No,No,96.000,No,,,,,,,comp-1779457042829-tvm0oea36>Ingredient>1767783015821-wzhro2bfn>1767783015821-wzhro2bfn>5.000|comp-1779457042829-v3x7d7v3o>Packaging>1775288910887-6hf3gtxl1>96.000
menu-1779457150824-nveo8tf6u,Coca-Cola Cherry BIB 33cl,Coca-Cola Cherry 33cl,Adidas Arena,Coca-Cola,Beverage,Soft Drink,No,No,102.000,No,,,,,,,comp-1779457150824-ionkg9flu>Ingredient>1767784371922-3wbsz0j1f>1767784371922-3wbsz0j1f>5.000|comp-1779457150824-qerfjn65m>Packaging>1775288910887-6hf3gtxl1>102.000
