Component ID,Component Name,Category,Component Type,Unit,Number of Units per Recipe,Packaging Type,Number of units,Storage Type,Description,Recipe
1767711996658,Coleslaw,Food,Veg,kg,1.000,,,Cold,,17677118960760.8860263176110316>Ingredient>>1767711693533-ada68o82u>1.000|17677119094930.8309943675142587>Ingredient>>1767711724748-dga2dc8wb>1.000|17677119330380.7602062173870222>Ingredient>>1763779404758-0-yvw67oq3n>1.000|17677119439500.8097570954939962>Ingredient>>1763781584933-2-32usee74l>1.000|17677119660900.22581007523391539>Ingredient>>1763779584342-44-vkrly1xpl>1.000|17677119771320.19234010938047486>Ingredient>>1763779586655-50-a09qy94l2>1.000|17677119928100.3498242280867543>Ingredient>>1763781584933-6-2bgxb9uxv>1.000
1775238562484,Sauce BBQ (Auxerre),Food,Sauce,kg,0.750,,,Cold,,17767638073770.8924621497783897>Ingredient>>1775222924996-1-84bcfhf1z>0.622|17767638195130.47819059067509606>Ingredient>>1775222925785-40-hr5fz1w7i>0.042|17767638836530.7036364386209912>Ingredient>>1763781587037-53-dprgmhv0w>0.037|17767638985150.5468603495045726>Ingredient>>1775222924996-8-n0l8qq3zd>0.009|17767639099260.43493696078065314>Ingredient>>1775200322908-ubl4awzxw>0.006|17767639208240.07273132088638135>Ingredient>>1775202293380-9elvksfxp>0.002|17767639302560.8969346011960233>Ingredient>>1775222925418-25-s4a5gonh3>0.002
1775238763953,Sauce burger (Auxerre),Food,Sauce,kg,0.750,Pipette,0.750,Cold,,17767635255760.324138094722479>Ingredient>>1775222924996-4-25hv8vyml>0.418|17767635974850.5487730222359842>Ingredient>>1775222924996-1-84bcfhf1z>0.167|17767636270890.79197759246189>Ingredient>>1775201984569-xjro6ayzh>0.084|17767636516650.9288320875941165>Ingredient>>1775222924996-8-n0l8qq3zd>0.560|17767636757710.7448411694520486>Ingredient>>1775222925238-19-ir9mtktto>0.019|17767636987570.5951828787378235>Ingredient>>1775222925418-25-s4a5gonh3>0.005
1775239175124,Sauce César (Auxerre),Food,Sauce,kg,0.750,,,Cold,,17752388074680.9482657426126744>Ingredient>>1775222925785-41-3l7j2v3x5>0.572|17752388215010.09466100273481581>Ingredient>>1775222925418-20-9f61y40e2>0.071|17752388449180.7505225687655752>Ingredient>>1775203727150-awot3bip4>0.034|17752388642490.6160004096677061>Ingredient>>1775200322908-ubl4awzxw>0.026|17752390169780.9839634136563304>Ingredient>>1775222925626-33-boz1hww1o>0.026|17752390434950.3934019407559304>Ingredient>>1775222925785-49-xk5g3cr5l>0.012|17752390666100.27516979432574507>Ingredient>>1775222925418-25-s4a5gonh3>0.009
1775239477216,Pulled beef bourguignon (Auxerre),Food,Meat,kg,1.000,,,Cold,,17752392833040.3040586137316811>Ingredient>>1775200899056-3n77c4010>0.200|17752393209690.49902094740735503>Ingredient>>1775201284500-44tnndjsp>0.010|17752394060180.07415842469220457>Ingredient>>1775222924996-5-aqebl1fln>0.200|17752394258170.17099705104397522>Ingredient>>1775222925626-33-boz1hww1o>0.001|17752394548330.11122887435372109>Ingredient>>1775222925418-25-s4a5gonh3>0.001|17757371275910.31797988527645027>Ingredient>>1775737070623-qnu1m4cl8>1.000|17774997805770.6410638929276452>Ingredient>>1777499658827-qxbnvzoso>0.050
1775239770283,Chimichuri (Auxerre),Food,Sauce,piece,1.000,,,Cold,,17752395447960.6635247726674435>Ingredient>>1775222925418-22-agu8l1297>0.007|17752396377940.9844000954823607>Ingredient>>1775222925785-49-xk5g3cr5l>0.004|17752396677260.10014949119226557>Ingredient>>1775202455344-eqtos6vtw>0.001|17752396871080.5898066292767815>Ingredient>>1775200179285-jg1g2bu0i>0.001|17752397090420.3118533450690887>Ingredient>>1775222925785-40-hr5fz1w7i>0.001|17767653847060.9615182841211697>Ingredient>>1775222925626-33-boz1hww1o>0.001|17767654183940.0015115014438054075>Ingredient>>1775222925418-25-s4a5gonh3>0.001
1775240148279,Pickles (Auxerre),Food,Veg,kg,1.000,Can,1.000,Cold,,17774777186290.08182373098632889>Component>comp-1761518359520>0.014|17774853300240.8502638074782953>Ingredient>>1775222925785-40-hr5fz1w7i>0.002|17774853609890.03099758773687722>Ingredient>>mp-1761526392482-1>0.001|17774853832060.3939846425922505>Ingredient>>1775200602045-wz19cmoey>0.001|17774854217060.7436609708019328>Ingredient>>1775222925626-35-tcy4f0zda>0.002|17774854468910.5452720233776344>Ingredient>>1775222925626-39-05wwj2lvl>0.003|17774854803900.4321077602949963>Ingredient>>1775201720158-d3gqfv6oj>1.000
1775240297891,Compoté d'oignons (Auxerre),Food,Sauce,kg,1.000,,,Cold,,17752402406250.5962302406593877>Ingredient>>1775222925785-42-4vnqlkk63>0.030|17752402663590.28950205176913146>Ingredient>>1775222925626-35-tcy4f0zda>0.005|17752402803580.43305979772914516>Ingredient>>1775222925626-33-boz1hww1o>0.001
1775241014938,Mayonnaise épicée,Food,Sauce,kg,0.750,,,Dry,,17752408940910.5022277244032859>Ingredient>>1775222924996-4-25hv8vyml>0.690|17752410050370.8350904005441695>Ingredient>>1775222925238-19-ir9mtktto>0.030
1776764671381,Sauce BBQ (Paris),Food,Sauce,kg,0.750,,,Cold,,17767644412910.8837416030332935>Ingredient>>1776437197120-paoabk4e5>0.622|1780297927536-3546078397011714>Ingredient>>1763753075454-0-q7mpzszj1>0.420|1780297975430-37248133891400625>Ingredient>>1776437368936-014l0jbbn>0.040|1780298021072-3604318369063404>Ingredient>>1776693501567-lhlfw3xy0>0.032|1780298057790-91853103341469>Ingredient>>1776691615730-ohpnjwyh4>0.010|1780298091977-44993468889673127>Ingredient>>1776437482736-wff47yf1l>0.004|1780298155489-8787290694795659>Ingredient>>1780057606110-i0sjnt5u0>0.005|1780307090822-35094087742464364>Ingredient>>1776690341872-6lv9yc5tl>0.010
