Space,Configuration,Event Date,Event End Date,Event End Time,Event Name,Event Type,Event Category,Event Subcategory,Doors Open,Show Time,Performer Name,Home Team Name,Visiting Team,Sponsor,Number of Sessions,All Sessions (Doors|Show),Has Opening Act,Opening Act Name,Has Intermission,Tickets Sold,Tickets Scanned
"Adidas Arena","","02/07/2027","02/07/2027","23:50","option concert","Entertainment","Concert","","18:30","20:30","option concert","","","","1","18:30|20:30","No","","No","","0"
"Adidas Arena","","01/07/2027","01/07/2027","23:50","option concert","Entertainment","Concert","","18:30","20:30","option concert","","","","1","18:30|20:30","No","","No","","0"
"Adidas Arena","","27/06/2027","27/06/2027","23:50","option sport volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","5583"
"Adidas Arena","","26/06/2027","26/06/2027","23:50","option sport volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","5583"
"Adidas Arena","","25/06/2027","25/06/2027","23:50","option sport volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","5583"
"Adidas Arena","","24/06/2027","24/06/2027","23:50","option sport volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","5583"
"Adidas Arena","","23/06/2027","23/06/2027","23:50","option sport volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","5583"
"Adidas Arena","","12/06/2027","12/06/2027","23:50","PBB Betclic Playoff","Sport","Basket","Betclic Elite","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5039"
"Adidas Arena","","04/06/2027","04/06/2027","23:50","ares","Sport","Martial Art","MMA","","","","","","","1","|","No","","No","8000","3731"
"Adidas Arena","","03/06/2027","03/06/2027","23:50","PBB Betclic Playoff","Sport","Basket","Betclic Elite","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5039"
"Adidas Arena","","01/06/2027","01/06/2027","23:50","PBB Betclic Playoff","Sport","Basket","Betclic Elite","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5039"
"Adidas Arena","","29/05/2027","29/05/2027","23:50","jenifer","Entertainment","Concert","Variété","18:30","20:30","jenifer","","","","1","18:30|20:30","No","","No","8250","4500"
"Adidas Arena","","24/05/2027","24/05/2027","23:50","PBB Betclic Playoff","Sport","Basket","Betclic Elite","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5000"
"Adidas Arena","","22/05/2027","22/05/2027","23:50","VIT","Entertainment","Concert","Electro","18:30","20:30","VIT","","","","1","18:30|20:30","No","","No","8250","7500"
"Adidas Arena","","16/05/2027","16/05/2027","23:50","PBB Betclic","Sport","Basket","Betclic Elite","14:30","16:30","","Paris Basket Ball","","","1","14:30|16:30","No","","No","","4000"
"Adidas Arena","","08/05/2027","08/05/2027","23:50","option volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","0"
"Adidas Arena","","02/05/2027","02/05/2027","23:50","PBB Betclic","Sport","Basket","Betclic Elite","14:30","16:30","","Paris Basket Ball","","","1","14:30|16:30","No","","No","","4000"
"Adidas Arena","","01/05/2027","01/05/2027","23:50","Strike MMA","Sport","Martial Art","MMA","","","","","","","1","|","No","","No","8000","3752"
"Adidas Arena","","28/04/2027","28/04/2027","23:50","option concert","Entertainment","Concert","","18:30","20:30","option concert","","","","1","18:30|20:30","No","","No","","0"
"Adidas Arena","","17/04/2027","17/04/2027","23:50","OPTION ESCALADE","Sport","Escalade","Compétition","","","","","","","1","|","No","","No","","4000"
"Adidas Arena","","15/04/2027","15/04/2027","23:50","PBB Euroleague","Sport","Basket","Euroleague","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5039"
"Adidas Arena","","11/04/2027","11/04/2027","23:50","PBB Betclic","Sport","Basket","Betclic Elite","14:30","16:30","","Paris Basket Ball","","","1","14:30|16:30","No","","No","","4000"
"Adidas Arena","","10/04/2027","10/04/2027","23:50","OPTION EQUIPE DE France FEMININE","Sport","Handball","Coupe de France","","","","","","","1","|","No","","No","","0"
"Adidas Arena","","08/04/2027","08/04/2027","23:50","PBB Euroleague","Sport","Basket","Euroleague","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5039"
"Adidas Arena","","04/04/2027","04/04/2027","23:50","PBB Betclic","Sport","Basket","Betclic Elite","14:30","16:30","","Paris Basket Ball","","","1","14:30|16:30","No","","No","","4000"
"Adidas Arena","","02/04/2027","02/04/2027","23:50","ares","Sport","Martial Art","MMA","","","","","","","1","|","No","","No","8000","3731"
"Adidas Arena","","01/04/2027","01/04/2027","23:50","PBB Euroleague","Sport","Basket","Euroleague","19:00","21:00","","Paris Basket Ball","","","1","19:00|21:00","No","","No","","5039"
"Adidas Arena","","29/03/2027","29/03/2027","23:50","Tash Sultana","Entertainment","Concert","Communautaire","18:30","20:30","Tash Sultana","","","","1","18:30|20:30","No","","No","8250","5699"
"Adidas Arena","","27/03/2027","27/03/2027","23:50","Coupe de France de Volley","Sport","Volley-ball","Coupe de France","","","","","","","1","|","No","","No","","6500"
