Item ID,Item Name,Good Type,Ingredient Category,Recipe Unit,Purchase Unit,Purchase Unit Conversion,Market Prices
1774987340963-9uit3bt4d,Coca-Cola Cherry - CAN 33CL,Beverage,Soft Drink,pc,pc,1,1774987340963-9uit3bt4d>33cl - 122641>supplier-1762287668036>France Boissons IDF>Beverage>Carton>24>pc>20.77>Carton>24>1>1>60>30>15
1775289453335-jnn6u82ig,Vin rouge - Minuty prestige,Beverage,Wine,l,pc,1.33,1775289453335-jnn6u82ig>PFC - Minuty prestige rouge>supplier-1767860945083>Moet hennessy>Beverage>Bottle>1>pc>12.67>Carton>6>>>>>
market-price-1761752109642,Pomme de terre,Food,Starchy,kg,kg,1,market-price-1761752109642>Arena - PDT lavée 10kg>supplier-1776677164417>M.Charraire>Food>Bag>1>kg>1.08>Bag>10>5>1>10>10>10|1780062481932-2w066sxic>Agria lavée filet 15kg>supplier-1776677164417>M.Charraire>Food>Bag>15>kg>12.45>Bag>15>>>>>|1777499989828-wblk1w8it>Pomme de Terre>supplier-1761652156967>Metro Auxerre>Food>Bag>5>kg>5.65>Bag>1>>>>>|1776697915119-my72di1ll>Arena - PDT bintj brossés 25kg>supplier-1776677164417>M.Charraire>Food>Bag>1>kg>0.58>Bag>25>>>>>
market-price-1762288192688,Heineken - 30L,Beverage,Beer,l,l,1,market-price-1762288192688>30L - 97084>supplier-1762287668036>France Boissons IDF>Beverage>Fût>30>l>93.61>Fût>30>30>1>50>50>60
mp-1761526392482-1,Canelle,Food,Spice,kg,kg,1,mp-1761526392482-1>Canelle>supplier-1761652156967>Metro Auxerre>Food>Plastic Bag>0.5>kg>10.25>Plastic Bag>0.5>>>>>
1776350386528-bjcbnmz3x,Spritz rose - 20L,Beverage,Sparkling Wine,l,l,1,1776350386528-bjcbnmz3x>Spritz rose - 20L>supplier-1762287668036>France Boissons IDF>Beverage>BIB>20>l>291.90>BIB>20>>>>>
mp-1761526395206-17,Miel,Food,Vegetable,kg,kg,1,mp-1761526395206-17>Miel>supplier-1761662500738>Cercle vert>Food>>5>kg>27.00>>>>>>>|1763781586624-40-pkan9k3yz>Miel>supplier-1761662500738>Cercle vert>Food>>5>kg>26.96>>>>>>>
1767784757771-vto7sce98,Schweppes Indian tonic,Beverage,Soft Drink,l,pc,1,1767784757771-vto7sce98>1L - 119978>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>6>pc>10.74>Carton>6>>>>>|1777558821371-v68agfr4x>Schweppes Indian tonic 6*1L>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>1>pc>1.80>Carton>6>>>>>
1774987688817-0p3jjh31a,Coca-Cola Cherry - PET 50CL,Beverage,Soft Drink,pc,pc,1,1774987688817-0p3jjh31a>PET 50 - 122634>supplier-1762287668036>France Boissons IDF>Beverage>Bottle>24>pc>30.90>Bottle>24>1>1>85>40>20
1774988511268-kckagmxf4,Coca-Cola Sans Sucre - CAN 33CL,Beverage,Soft Drink,pc,pc,1,1774988511268-kckagmxf4>33 CL - 122643>supplier-1762287668036>France Boissons IDF>Beverage>Carton>24>pc>16.72>Carton>24>1>1>70>35>15
1776348039785-hj2hhjrgn,Powerade - PET 50CL,Beverage,Soft Drink,pc,pc,1,1776348039785-hj2hhjrgn>Powerade 50CL>supplier-1762287668036>France Boissons IDF>Beverage>Can>1>pc>1.48>Carton>24>>>>>
1774988660249-9u5oj0ni3,Coca-Cola Sans Sucre  - PET 50CL,Beverage,Soft Drink,pc,pc,1,1774988660249-9u5oj0ni3>PET 50 - 122635>supplier-1762287668036>France Boissons IDF>Beverage>>24>pc>26.65>>>1>1>85>40>20
1779439261776-toaedgiho,Barquette bateau kraft frites,Packaging,,pc,pc,1,1779439261776-toaedgiho>BOATKR42>supplier-1779293671638>De Facto>Packaging>Carton>1000>pc>61.20>Plastic Bag>100>>>>>
1770890771495-35-o4ahf0034,Galette Wrap,Food,,,pc,,1770890771495-35-o4ahf0034>Galette Wrap>>>Food>>100>pc>23.50>>>>>>>|1763781586276-35-q3xrbmw5k>Galette Wrap>supplier-1761652156967>Metro Auxerre>Food>>100>pc>23.46>>>>>>>
