ID,ID Transaction,Référence de transaction,Date/heure transaction,ID acheteur,Acheteur ID porte-monnaie,Prénom acheteur,Nom acheteur,Activité vendeuse,Type de marchand,ID point de vente,Nom point de vente,Type de point de vente,Sous-type de point de vente,Moyen de paiement,ID vendeur,Prénom vendeur,Nom vendeur,ID article,Article,SKU article,Nature,Famille d'article,Menu,ID Transaction Menu,Monnaie,Prix unitaire HT (promotion incluse),Prix unitaire TTC (promotion incluse),Quantité,Taux de TVA,Total HT (promotion incluse),Montant TVA (promotion incluse),Total TTC (promotion incluse)
7100,3125,A49T23E2O1776173,22/08/26 18:29,0,0,,,BUVETTE,Interne,9,Porte C,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,585,Manager,Porte C,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,2,20.00%,1.67 €,0.33 €,2.00 €
7101,3125,A49T23E2O1776173,22/08/26 18:29,0,0,,,BUVETTE,Interne,9,Porte C,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,585,Manager,Porte C,5,Eau,,BEVERAGE,BOISSON,,,EUR,1.90 €,2.00 €,2,5.50%,3.79 €,0.21 €,4.00 €
7102,3126,A30T211E2O1776173,22/08/26 18:49,0,0,,,BUVETTE,Interne,4,107,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,572,Manager,107,20,Sandwich Rillettes,,FOOD,Snack froid,,,EUR,5.91 €,6.50 €,2,10.00%,11.82 €,1.18 €,13.00 €
7103,3127,A98T5E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,29,Foodtruck 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,47,Kebab + frites,,FOOD,Foodtruck 1,,,EUR,12.73 €,14.00 €,1,10.00%,12.73 €,1.27 €,14.00 €
7104,3128,A55T10E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,2,CONTAINER 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,577,Manager,CONT 2,2,Coca Cola,,BEVERAGE,BOISSON,,,EUR,3.18 €,3.50 €,1,10.00%,3.18 €,0.32 €,3.50 €
7105,3128,A55T10E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,2,CONTAINER 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,577,Manager,CONT 2,4,Fuze Tea,,BEVERAGE,BOISSON,,,EUR,3.64 €,4.00 €,1,10.00%,3.64 €,0.36 €,4.00 €
7106,3128,A55T10E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,2,CONTAINER 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,577,Manager,CONT 2,36,Consigne,,REFUNDABLE_AND_DEPOSIT,Consigne,,,EUR,0.83 €,1.00 €,4,20.00%,3.33 €,0.67 €,4.00 €
7107,3128,A55T10E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,2,CONTAINER 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,577,Manager,CONT 2,41,Bud 33CL,,BEVERAGE,BIÈRES,,,EUR,5.42 €,6.50 €,1,20.00%,5.42 €,1.08 €,6.50 €
7108,3129,A98T7E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,29,Foodtruck 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,579,Guillaume,Filippetti,47,Kebab + frites,,FOOD,Foodtruck 1,,,EUR,12.73 €,14.00 €,2,10.00%,25.45 €,2.55 €,28.00 €
7109,3130,A48T25E2O1776173,22/08/26 18:52,0,0,,,BUVETTE,Interne,2,CONTAINER 2,FOOD,GENERAL_PUBLIC,CB VIVAWALLET,577,Manager,CONT 2,5,Eau,,BEVERAGE,BOISSON,,,EUR,1.90 €,2.00 €,1,5.50%,1.90 €,0.10 €,2.00 €
